message_id,author_id,message_time
971170631234224148,276635518085758977,"2022-05-03 22:05:21.964000+00:00"
971170631502667816,813187586867724339,"2022-05-03 22:05:22.028000+00:00"
971170632429629490,883029439657693225,"2022-05-03 22:05:22.249000+00:00"
971170633528508437,350806135600840704,"2022-05-03 22:05:22.511000+00:00"
971170636363878400,890401586029948999,"2022-05-03 22:05:23.187000+00:00"
971170639731904542,83399561850126336,"2022-05-03 22:05:23.990000+00:00"
971170642537873440,860503368001388574,"2022-05-03 22:05:24.659000+00:00"
971170645134172180,793508489963765760,"2022-05-03 22:05:25.278000+00:00"
971170646686068767,849536069589925908,"2022-05-03 22:05:25.648000+00:00"
971170649106178078,684156451622748180,"2022-05-03 22:05:26.225000+00:00"
971170654114164736,883029439657693225,"2022-05-03 22:05:27.419000+00:00"
971170654965596191,968265068305350696,"2022-05-03 22:05:27.622000+00:00"
971170658048426015,804253786830667817,"2022-05-03 22:05:28.357000+00:00"
971170660518867024,847043516512337950,"2022-05-03 22:05:28.946000+00:00"
971170664163713024,834391095815045151,"2022-05-03 22:05:29.815000+00:00"
971170668358025246,135270184293236736,"2022-05-03 22:05:30.815000+00:00"
971170669821853766,356348172122980352,"2022-05-03 22:05:31.164000+00:00"
971170673143713872,239910511884369922,"2022-05-03 22:05:31.956000+00:00"
971170675769344010,275347105504296970,"2022-05-03 22:05:32.582000+00:00"
971170692634665020,584214196086898698,"2022-05-03 22:05:36.603000+00:00"
971170694136217700,968265068305350696,"2022-05-03 22:05:36.961000+00:00"
971170694614376488,967543769668911124,"2022-05-03 22:05:37.075000+00:00"
971170697420357663,684156451622748180,"2022-05-03 22:05:37.744000+00:00"
971170711567761468,135270184293236736,"2022-05-03 22:05:41.117000+00:00"
971170713601998848,967543769668911124,"2022-05-03 22:05:41.602000+00:00"
971170713690079232,351059995250393098,"2022-05-03 22:05:41.623000+00:00"
971170718530277446,801410713720455219,"2022-05-03 22:05:42.777000+00:00"
971170735865364520,456653693291593728,"2022-05-03 22:05:46.910000+00:00"
971170739275300874,834391095815045151,"2022-05-03 22:05:47.723000+00:00"
971170744660803644,351059995250393098,"2022-05-03 22:05:49.007000+00:00"
971170747903008799,849536069589925908,"2022-05-03 22:05:49.780000+00:00"
971170750058885120,358978258471223296,"2022-05-03 22:05:50.294000+00:00"
971170750553808966,930600112340742225,"2022-05-03 22:05:50.412000+00:00"
971170751220699186,824961381132402688,"2022-05-03 22:05:50.571000+00:00"
971170758141308928,269306078393532416,"2022-05-03 22:05:52.221000+00:00"
971170765728804934,342560228870455297,"2022-05-03 22:05:54.030000+00:00"
971170768710959124,467382547106496512,"2022-05-03 22:05:54.741000+00:00"
971170778252972052,968265068305350696,"2022-05-03 22:05:57.016000+00:00"
971170784208891934,351059995250393098,"2022-05-03 22:05:58.436000+00:00"
971170814177206342,351059995250393098,"2022-05-03 22:06:05.581000+00:00"
971170818811908168,332582970319699969,"2022-05-03 22:06:06.686000+00:00"
971170835593314385,919666445095407616,"2022-05-03 22:06:10.687000+00:00"
971170838466396280,883029439657693225,"2022-05-03 22:06:11.372000+00:00"
971170846238470234,293572997199953921,"2022-05-03 22:06:13.225000+00:00"
971170857143664640,930600112340742225,"2022-05-03 22:06:15.825000+00:00"
971170862931795999,293572997199953921,"2022-05-03 22:06:17.205000+00:00"
971170864458498048,351059995250393098,"2022-05-03 22:06:17.569000+00:00"
971170864810831932,884654252486696960,"2022-05-03 22:06:17.653000+00:00"
971170868032061450,930600112340742225,"2022-05-03 22:06:18.421000+00:00"
971170870695444500,883029439657693225,"2022-05-03 22:06:19.056000+00:00"
971170941356875776,930600112340742225,"2022-05-03 22:06:35.903000+00:00"
971170964790468658,356348172122980352,"2022-05-03 22:06:41.490000+00:00"
971170994251239514,930600112340742225,"2022-05-03 22:06:48.514000+00:00"
971171007173898340,413605856161038337,"2022-05-03 22:06:51.595000+00:00"
971171031882551306,922220490259574785,"2022-05-03 22:06:57.486000+00:00"
971171081991880735,934635369507475477,"2022-05-03 22:07:09.433000+00:00"
971171093895335946,488383865866682384,"2022-05-03 22:07:12.271000+00:00"
971171103559024650,509885604910071818,"2022-05-03 22:07:14.575000+00:00"
971171121649041448,803855066049413180,"2022-05-03 22:07:18.888000+00:00"
971171129324621875,930600112340742225,"2022-05-03 22:07:20.718000+00:00"
971171133443432498,815612702940332062,"2022-05-03 22:07:21.700000+00:00"
971171174635683860,930600112340742225,"2022-05-03 22:07:31.521000+00:00"
971171185373085736,890401586029948999,"2022-05-03 22:07:34.081000+00:00"
971171186140655667,967543769668911124,"2022-05-03 22:07:34.264000+00:00"
971171259620659274,356348172122980352,"2022-05-03 22:07:51.783000+00:00"
971171261873029190,967543769668911124,"2022-05-03 22:07:52.320000+00:00"
971171278373392414,922220490259574785,"2022-05-03 22:07:56.254000+00:00"
971171286195773490,207611131970191361,"2022-05-03 22:07:58.119000+00:00"
971171288032895066,967543769668911124,"2022-05-03 22:07:58.557000+00:00"
971171299680481351,712586150073729025,"2022-05-03 22:08:01.334000+00:00"
971171312460517406,890401586029948999,"2022-05-03 22:08:04.381000+00:00"
971171313815257158,967543769668911124,"2022-05-03 22:08:04.704000+00:00"
971171325056012338,207611131970191361,"2022-05-03 22:08:07.384000+00:00"
971171344077185024,238064449846640640,"2022-05-03 22:08:11.919000+00:00"
971171355619889152,890401586029948999,"2022-05-03 22:08:14.671000+00:00"
971171357712875560,585260349981196309,"2022-05-03 22:08:15.170000+00:00"
971171392617861180,849536069589925908,"2022-05-03 22:08:23.492000+00:00"
971171394626924654,416035060571963392,"2022-05-03 22:08:23.971000+00:00"
971171395428028539,922220490259574785,"2022-05-03 22:08:24.162000+00:00"
971171397260967936,967543769668911124,"2022-05-03 22:08:24.599000+00:00"
971171427434782800,564449000887943170,"2022-05-03 22:08:31.793000+00:00"
971171436528042084,416035060571963392,"2022-05-03 22:08:33.961000+00:00"
971171479729373235,435539819863474188,"2022-05-03 22:08:44.261000+00:00"
971171514005196861,890401586029948999,"2022-05-03 22:08:52.433000+00:00"
971171528181948436,423501695818137623,"2022-05-03 22:08:55.813000+00:00"
971171536738328646,356348172122980352,"2022-05-03 22:08:57.853000+00:00"
971171543503765544,515653390525530113,"2022-05-03 22:08:59.466000+00:00"
971171566954106922,494984296201715742,"2022-05-03 22:09:05.057000+00:00"
971171581197963294,890401586029948999,"2022-05-03 22:09:08.453000+00:00"
971171586403106836,922220490259574785,"2022-05-03 22:09:09.694000+00:00"
971171593940250674,416035060571963392,"2022-05-03 22:09:11.491000+00:00"
971171609379487754,488383865866682384,"2022-05-03 22:09:15.172000+00:00"
971171623346515968,324370948105175040,"2022-05-03 22:09:18.502000+00:00"
971171633853268068,647648951033659392,"2022-05-03 22:09:21.007000+00:00"
971171639335194755,890401586029948999,"2022-05-03 22:09:22.314000+00:00"
971171657362321458,879935239294681108,"2022-05-03 22:09:26.612000+00:00"
971171664870125650,428201133920485376,"2022-05-03 22:09:28.402000+00:00"
971171673560723487,324370948105175040,"2022-05-03 22:09:30.474000+00:00"
971171697472458752,324370948105175040,"2022-05-03 22:09:36.175000+00:00"
971171710751608882,303663768653660161,"2022-05-03 22:09:39.341000+00:00"
971171718909534239,456653693291593728,"2022-05-03 22:09:41.286000+00:00"
971171722726375515,303663768653660161,"2022-05-03 22:09:42.196000+00:00"
971171767538303006,303663768653660161,"2022-05-03 22:09:52.880000+00:00"
971171812799033474,883339168179163206,"2022-05-03 22:10:03.671000+00:00"
971171814371901490,922220490259574785,"2022-05-03 22:10:04.046000+00:00"
971171815797956629,356348172122980352,"2022-05-03 22:10:04.386000+00:00"
971171853416681512,696471666875695214,"2022-05-03 22:10:13.355000+00:00"
971171857250275428,921471720378990682,"2022-05-03 22:10:14.269000+00:00"
971171862845464586,696471666875695214,"2022-05-03 22:10:15.603000+00:00"
971171869640261723,692314585709019178,"2022-05-03 22:10:17.223000+00:00"
971171873540931594,696471666875695214,"2022-05-03 22:10:18.153000+00:00"
971171880419622983,922220490259574785,"2022-05-03 22:10:19.793000+00:00"
971171883280109648,456231041724579863,"2022-05-03 22:10:20.475000+00:00"
971171890943115284,209689396545454080,"2022-05-03 22:10:22.302000+00:00"
971171891173797968,456231041724579863,"2022-05-03 22:10:22.357000+00:00"
971171894244048907,460172388768940034,"2022-05-03 22:10:23.089000+00:00"
971171902255165520,208464071090110464,"2022-05-03 22:10:24.999000+00:00"
971171908747952188,456231041724579863,"2022-05-03 22:10:26.547000+00:00"
971171911574900907,696471666875695214,"2022-05-03 22:10:27.221000+00:00"
971171927425179718,908569942176194562,"2022-05-03 22:10:31+00:00"
971171930545745930,934142709013307462,"2022-05-03 22:10:31.744000+00:00"
971171933901185075,429699166633984000,"2022-05-03 22:10:32.544000+00:00"
971171943145426954,934142709013307462,"2022-05-03 22:10:34.748000+00:00"
971171947884986468,696471666875695214,"2022-05-03 22:10:35.878000+00:00"
971171952695853115,908569942176194562,"2022-05-03 22:10:37.025000+00:00"
971171957531885688,696471666875695214,"2022-05-03 22:10:38.178000+00:00"
971171968185426030,747991714383528057,"2022-05-03 22:10:40.718000+00:00"
971171983628849213,889738955984085032,"2022-05-03 22:10:44.400000+00:00"
971171989416968222,143216417192411136,"2022-05-03 22:10:45.780000+00:00"
971171994450141234,907865841960386590,"2022-05-03 22:10:46.980000+00:00"
971171998115983370,961382461047197736,"2022-05-03 22:10:47.854000+00:00"
971172026649804800,138433643310874625,"2022-05-03 22:10:54.657000+00:00"
971172044014223411,712799571494830162,"2022-05-03 22:10:58.797000+00:00"
971172056492290068,930600112340742225,"2022-05-03 22:11:01.772000+00:00"
971172104336707625,888083070404669471,"2022-05-03 22:11:13.179000+00:00"
971172105305600000,356348172122980352,"2022-05-03 22:11:13.410000+00:00"
971172132732141628,831009850053623808,"2022-05-03 22:11:19.949000+00:00"
971172218442772540,611871985512873985,"2022-05-03 22:11:40.384000+00:00"
971172228458770442,227091638558785536,"2022-05-03 22:11:42.772000+00:00"
971172245093363752,922220490259574785,"2022-05-03 22:11:46.738000+00:00"
971172277595029516,922220490259574785,"2022-05-03 22:11:54.487000+00:00"
971172278568108112,611871985512873985,"2022-05-03 22:11:54.719000+00:00"
971172318070067210,769782314594074636,"2022-05-03 22:12:04.137000+00:00"
971172328400621578,789640245603598354,"2022-05-03 22:12:06.600000+00:00"
971172338739601488,804210403801825310,"2022-05-03 22:12:09.065000+00:00"
971172345819562014,531383872341016576,"2022-05-03 22:12:10.753000+00:00"
971172345928622140,217851329601732608,"2022-05-03 22:12:10.779000+00:00"
971172346482282567,820675709907238912,"2022-05-03 22:12:10.911000+00:00"
971172359056814120,430815933833936896,"2022-05-03 22:12:13.909000+00:00"
971172363016241222,409881831807385612,"2022-05-03 22:12:14.853000+00:00"
971172363691515904,240654778042941440,"2022-05-03 22:12:15.014000+00:00"
971172378338029569,395063225231605760,"2022-05-03 22:12:18.506000+00:00"
971172386013610085,922220490259574785,"2022-05-03 22:12:20.336000+00:00"
